Type,Area (J),Disk Storage (TB),RAM Storage (GB),Storage Device,Power Type,IDLE Energy,Operation,CPU TDP (W),Number of Cores ,,,,,,,,,
categorical,numeric,numeric,numeric,categorical,categorical,numeric,categorical,numeric,numeric,,,IPMI Idle,CPU Idle,RAM Idle,Disk Storage,RAM Storage ,CPU TDP,Number of Cores 
,,,,,,,,,,,Metadata,,,,,,,
Disk,74992.91667,0.2236,186,SSD,IPMI,207.8975741,Write,125,,,Client,207.8975741,72.26646,,,,,
Disk,70748.08333,0.2236,186,SSD,IPMI,207.8975741,Write,125,,,Storage,112.2605364,,,,,,
Disk,70057,0.2236,186,SSD,IPMI,207.8975741,Write,125,,,Compute_Cascade,256.4502436,,,,,,
Memory,51735.41667,0.2236,186,SSD,IPMI,207.8975741,Write,125,,,NVMe_Storage,245.1455976,,,,,,
Memory,52862.33333,0.2236,186,SSD,IPMI,207.8975741,Write,125,,,,,,,,,,
Memory,52389.58333,0.2236,186,SSD,IPMI,207.8975741,Write,125,,,,IPMI Area,CPU Area,RAM Area,,,,
Client,74492.41667,0.2236,186,SSD,IPMI,207.8975741,Write,125,,,10,,,,,,,
Client,72831.41667,0.2236,186,SSD,IPMI,207.8975741,Write,125,,,10,,,,,,,
Client,75923.91667,0.2236,186,SSD,IPMI,207.8975741,Write,125,,,10,,,,,,,
Metadata,67726,0.2236,186,SSD,IPMI,201.2417641,Write,125,,,9,,,,,,,
Metadata,67923.33333,0.2236,186,SSD,IPMI,201.2417641,Write,125,,,9,,,,,,,
Metadata,68906.33333,0.2236,186,SSD,IPMI,201.2417641,Write,125,,,9,,,,,,,
Lustre Storage,37292.83333,25,62,HDD,IPMI,112.2605364,Write,105,10,,8,,,,,,,
Lustre Storage,37912.83333,25,62,HDD,IPMI,112.2605364,Write,105,10,,8,,,,,,,
Lustre Storage,37879,25,62,HDD,IPMI,112.2605364,Write,105,10,,8,,,,,,,
Client/Admin,63227.33333,0.4471,187,SSD,IPMI,256.4502436,Write,165,,,7,,,,,,,
Client/Admin,64027.75,0.4471,187,SSD,IPMI,256.4502436,Write,165,,,7,,,,,,,
Client/Admin,64009.33333,0.4471,187,SSD,IPMI,256.4502436,Write,165,,,7,,,,,,,
NVMe Storage,55769.66667,0.8943,251,SSD,IPMI,245.1455976,Write,155,,,,,,,,,,
NVMe Storage,54048.5,0.8943,251,SSD,IPMI,245.1455976,Write,155,,,Cost of Transferring over TCP Network,IPMI,CPU ,RAM,,,,
NVMe Storage,53858,0.8943,251,SSD,IPMI,245.1455976,Write,155,,,DT - D (idle considered),,,,,,,
NVMe Storage,58801.08333,0.8943,251,SSD,IPMI,245.1455976,Write,155,,,MT - M (idle considered),,,,,,,
NVMe Storage,55680.25,0.8943,251,SSD,IPMI,245.1455976,Write,155,,,Average,,,,,,,
NVMe Storage,55484,0.8943,251,SSD,IPMI,245.1455976,Write,155,,,,,,,,,,
Disk,28083.83833,0.2236,186,SSD,CPU,72.26646,Write,125,,,,,,,,,,
Disk,30694.46,0.2236,186,SSD,CPU,72.26646,Write,125,,,,,,,,,,
Disk,33277.60083,0.2236,186,SSD,CPU,72.26646,Write,125,,,,,,,,,,
Memory,20860.42417,0.2236,186,SSD,CPU,72.26646,Write,125,,,,,,,,,,
Memory,26050.98,0.2236,186,SSD,CPU,72.26646,Write,125,,,,,,,,,,
Memory,26559.54,0.2236,186,SSD,CPU,72.26646,Write,125,,,,,,,,,,
Client,30590.42667,0.2236,186,SSD,CPU,72.26646,Write,125,,,,,,,,,,
Client,34375.05333,0.2236,186,SSD,CPU,72.26646,Write,125,,,,,,,,,,
Client,34292.28667,0.2236,186,SSD,CPU,72.26646,Write,125,,,,,,,,,,
Metadata,14421.00667,0.2236,186,SSD,CPU,23.64629,Write,125,,,,,,,,,,
Metadata,7902.833333,0.2236,186,SSD,CPU,23.64629,Write,125,,,,,,,,,,
Metadata,8179.15,0.2236,186,SSD,CPU,23.64629,Write,125,,,,,,,,,,
Lustre Storage,26727.68667,25,62,HDD,CPU,72.26646,Write,105,10,,,,,,,,,
Lustre Storage,25394.16333,25,62,HDD,CPU,72.26646,Write,105,10,,,,,,,,,
Lustre Storage,25365.76333,25,62,HDD,CPU,72.26646,Write,105,10,,,,,,,,,
Client/Admin,25821.72865,0.4471,187,SSD,CPU,75.87311,Write,165,,,,,,,,,,
Client/Admin,22380.68917,0.4471,187,SSD,CPU,75.87311,Write,165,,,,,,,,,,
Client/Admin,23930.66,0.4471,187,SSD,CPU,75.87311,Write,165,,,,,,,,,,
NVMe Storage,27375.39667,0.8943,251,SSD,CPU,117.91923,Write,155,,,,,,,,,,
NVMe Storage,28377.95,0.8943,251,SSD,CPU,117.91923,Write,155,,,,,,,,,,
NVMe Storage,33265.06667,0.8943,251,SSD,CPU,117.91923,Write,155,,,,,,,,,,
NVMe Storage,27774.91,0.8943,251,SSD,CPU,117.91923,Write,155,,,,,,,,,,
NVMe Storage,28364.71,0.8943,251,SSD,CPU,117.91923,Write,155,,,,,,,,,,
NVMe Storage,28402.82,0.8943,251,SSD,CPU,117.91923,Write,155,,,,,,,,,,
Disk,2602.666667,0.2236,186,SSD,RAM,2.523513604,Write,125,,,,,,,,,,
Disk,2776.48,0.2236,186,SSD,RAM,2.523513604,Write,125,,,,,,,,,,
Disk,2754.98,0.2236,186,SSD,RAM,2.523513604,Write,125,,,,,,,,,,
Memory,1747.9625,0.2236,186,SSD,RAM,2.523513604,Write,125,,,,,,,,,,
Memory,2579.29,0.2236,186,SSD,RAM,2.523513604,Write,125,,,,,,,,,,
Memory,2596.816667,0.2236,186,SSD,RAM,2.523513604,Write,125,,,,,,,,,,
Client,2914.7,0.2236,186,SSD,RAM,2.523513604,Write,125,,,,,,,,,,
Client,3801.283333,0.2236,186,SSD,RAM,2.523513604,Write,125,,,,,,,,,,
Client,3806.166667,0.2236,186,SSD,RAM,2.523513604,Write,125,,,,,,,,,,
Metadata,958.2233333,0.2236,186,SSD,RAM,2.614429616,Write,125,,,,,,,,,,
Metadata,762.8266667,0.2236,186,SSD,RAM,2.614429616,Write,125,,,,,,,,,,
Metadata,735.44,0.2236,186,SSD,RAM,2.614429616,Write,125,,,,,,,,,,
Lustre Storage,6867.573333,25,62,HDD,RAM,20.87795485,Write,105,10,,,,,,,,,
Lustre Storage,6819.103333,25,62,HDD,RAM,20.87795485,Write,105,10,,,,,,,,,
Lustre Storage,6819.616667,25,62,HDD,RAM,20.87795485,Write,105,10,,,,,,,,,
Client/Admin,3848.116667,0.4471,187,SSD,RAM,12.70601418,Write,165,,,,,,,,,,
Client/Admin,3565.733333,0.4471,187,SSD,RAM,12.70601418,Write,165,,,,,,,,,,
Client/Admin,2918.326667,0.4471,187,SSD,RAM,12.70601418,Write,165,,,,,,,,,,
Disk,10418.5,0.2236,186,SSD,IPMI,207.8975741,Read,125,,,,,,,,,,
Disk,10435.5,0.2236,186,SSD,IPMI,207.8975741,Read,125,,,,,,,,,,
Disk,10039.41667,0.2236,186,SSD,IPMI,207.8975741,Read,125,,,,,,,,,,
Memory,10221.91667,0.2236,186,SSD,IPMI,207.8975741,Read,125,,,,,,,,,,
Memory,10964.66667,0.2236,186,SSD,IPMI,207.8975741,Read,125,,,,,,,,,,
Memory,10544.5,0.2236,186,SSD,IPMI,207.8975741,Read,125,,,,,,,,,,
Client,9672.583333,0.2236,186,SSD,IPMI,207.8975741,Read,125,,,,,,,,,,
Client,11294.25,0.2236,186,SSD,IPMI,207.8975741,Read,125,,,,,,,,,,
Client,10293.66667,0.2236,186,SSD,IPMI,207.8975741,Read,125,,,,,,,,,,
Metadata,10242.5,0.2236,186,SSD,IPMI,201.2417641,Read,125,,,,,,,,,,
Metadata,11476.33333,0.2236,186,SSD,IPMI,201.2417641,Read,125,,,,,,,,,,
Metadata,11124.08333,0.2236,186,SSD,IPMI,201.2417641,Read,125,,,,,,,,,,
Lustre Storage,5897.833333,25,62,HDD,IPMI,112.2605364,Read,105,10,,,,,,,,,
Lustre Storage,6480.916667,25,62,HDD,IPMI,112.2605364,Read,105,10,,,,,,,,,
Lustre Storage,6046.25,25,62,HDD,IPMI,112.2605364,Read,105,10,,,,,,,,,
Client/Admin,12956.08333,0.4471,187,SSD,IPMI,256.4502436,Read,165,,,,,,,,,,
Client/Admin,12173.91667,0.4471,187,SSD,IPMI,256.4502436,Read,165,,,,,,,,,,
Client/Admin,14454.5,0.4471,187,SSD,IPMI,256.4502436,Read,165,,,,,,,,,,
NVMe Storage,11603.36111,0.8943,251,SSD,IPMI,245.1455976,Read,155,,,,,,,,,,
NVMe Storage,12633.41667,0.8943,251,SSD,IPMI,245.1455976,Read,155,,,,,,,,,,
NVMe Storage,13110.83333,0.8943,251,SSD,IPMI,245.1455976,Read,155,,,,,,,,,,
NVMe Storage,11982.08333,0.8943,251,SSD,IPMI,245.1455976,Read,155,,,,,,,,,,
NVMe Storage,14055.25,0.8943,251,SSD,IPMI,245.1455976,Read,155,,,,,,,,,,
NVMe Storage,13793.58333,0.8943,251,SSD,IPMI,245.1455976,Read,155,,,,,,,,,,
Disk,5474.92,0.2236,186,SSD,CPU,72.26646,Read,125,,,,,,,,,,
Disk,7251.89,0.2236,186,SSD,CPU,72.26646,Read,125,,,,,,,,,,
Disk,7779.033333,0.2236,186,SSD,CPU,72.26646,Read,125,,,,,,,,,,
Memory,7452.1225,0.2236,186,SSD,CPU,72.26646,Read,125,,,,,,,,,,
Memory,6806.976667,0.2236,186,SSD,CPU,72.26646,Read,125,,,,,,,,,,
Memory,5560.3225,0.2236,186,SSD,CPU,72.26646,Read,125,,,,,,,,,,
Client,5874.305,0.2236,186,SSD,CPU,72.26646,Read,125,,,,,,,,,,
Client,5502.971667,0.2236,186,SSD,CPU,72.26646,Read,125,,,,,,,,,,
Client,6653.316667,0.2236,186,SSD,CPU,72.26646,Read,125,,,,,,,,,,
Metadata,2001.24,0.2236,186,SSD,CPU,23.64629,Read,125,,,,,,,,,,
Metadata,1914.866667,0.2236,186,SSD,CPU,23.64629,Read,125,,,,,,,,,,
Metadata,1923.923333,0.2236,186,SSD,CPU,23.64629,Read,125,,,,,,,,,,
Lustre Storage,3982.696667,25,62,HDD,CPU,72.26646,Read,105,10,,,,,,,,,
Lustre Storage,3912.858333,25,62,HDD,CPU,72.26646,Read,105,10,,,,,,,,,
Lustre Storage,3988.58,25,62,HDD,CPU,72.26646,Read,105,10,,,,,,,,,
Client/Admin,5289.355833,0.4471,187,SSD,CPU,75.87311,Read,165,,,,,,,,,,
Client/Admin,4637.6925,0.4471,187,SSD,CPU,75.87311,Read,165,,,,,,,,,,
Client/Admin,4795.455833,0.4471,187,SSD,CPU,75.87311,Read,165,,,,,,,,,,
NVMe Storage,5561.976667,0.8943,251,SSD,CPU,117.91923,Read,155,,,,,,,,,,
NVMe Storage,5679.5125,0.8943,251,SSD,CPU,117.91923,Read,155,,,,,,,,,,
NVMe Storage,6371.519167,0.8943,251,SSD,CPU,117.91923,Read,155,,,,,,,,,,
NVMe Storage,5343.186667,0.8943,251,SSD,CPU,117.91923,Read,155,,,,,,,,,,
NVMe Storage,6732.220833,0.8943,251,SSD,CPU,117.91923,Read,155,,,,,,,,,,
NVMe Storage,6698.7975,0.8943,251,SSD,CPU,117.91923,Read,155,,,,,,,,,,
Disk,492.3966667,0.2236,186,SSD,RAM,2.523513604,Read,125,,,,,,,,,,
Disk,480.87,0.2236,186,SSD,RAM,2.523513604,Read,125,,,,,,,,,,
Disk,500.89,0.2236,186,SSD,RAM,2.523513604,Read,125,,,,,,,,,,
Memory,451.5708333,0.2236,186,SSD,RAM,2.523513604,Read,125,,,,,,,,,,
Memory,507.2125,0.2236,186,SSD,RAM,2.523513604,Read,125,,,,,,,,,,
Memory,504.7566667,0.2236,186,SSD,RAM,2.523513604,Read,125,,,,,,,,,,
Client,507.96,0.2236,186,SSD,RAM,2.523513604,Read,125,,,,,,,,,,
Client,502.0858333,0.2236,186,SSD,RAM,2.523513604,Read,125,,,,,,,,,,
Client,444.4766667,0.2236,186,SSD,RAM,2.523513604,Read,125,,,,,,,,,,
Metadata,215.8766667,0.2236,186,SSD,RAM,2.614429616,Read,125,,,,,,,,,,
Metadata,202.4866667,0.2236,186,SSD,RAM,2.614429616,Read,125,,,,,,,,,,
Metadata,204.46,0.2236,186,SSD,RAM,2.614429616,Read,125,,,,,,,,,,
Lustre Storage,1209.373333,25,62,HDD,RAM,20.87795485,Read,105,10,,,,,,,,,
Lustre Storage,1146.7,25,62,HDD,RAM,20.87795485,Read,105,10,,,,,,,,,
Lustre Storage,1084.04,25,62,HDD,RAM,20.87795485,Read,105,10,,,,,,,,,
Client/Admin,768.52,0.4471,187,SSD,RAM,12.70601418,Read,165,,,,,,,,,,
Client/Admin,694.4366667,0.4471,187,SSD,RAM,12.70601418,Read,165,,,,,,,,,,
Client/Admin,664.4566667,0.4471,187,SSD,RAM,12.70601418,Read,165,,,,,,,,,,
