Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Fork,Exec,Exit,Watts,dram,pkg-0,dram,pkg-1,x86_pk,pch_le,x86_pk,CPU,Freq,GPU,W
0,5.7,0,6.8,87.5,0,2,1109,3333,60,13,10,106.03,4.18,57.02,8.29,49.01,25,19,20,1.33,GHz,-N/A-,
1,0,0,2.1,97.9,0,3,559,1786,2,2,2,97.34,3.85,52.99,8.31,44.35,26,19,20,1.11,GHz,-N/A-,
2,0.1,0,2.3,97.6,0,2,883,2819,16,10,17,97.62,3.83,53.16,8.3,44.45,27,19,20,1.12,GHz,-N/A-,
3,0,0,2.1,97.9,0,2,436,1649,0,0,2,97.64,3.83,53.33,8.27,44.31,27,19,20,1.11,GHz,-N/A-,
4,0,0,2.1,97.9,0,2,358,712,0,0,0,98.18,3.82,53.76,8.27,44.42,27,19,20,1.11,GHz,-N/A-,
5,0,0,2.2,97.7,0,2,634,792,13,13,10,98.39,3.81,53.79,8.29,44.59,28,18,21,1.15,GHz,-N/A-,
6,0,0,2.1,97.9,0,3,444,1695,2,1,2,98.54,3.81,53.84,8.29,44.7,28,19,21,1.11,GHz,-N/A-,
7,0,0,2.1,97.9,0,2,491,1945,9,5,12,98.44,3.79,53.93,8.31,44.51,28,19,21,1.11,GHz,-N/A-,
8,0,0,2.1,97.9,0,2,375,896,0,0,0,98.6,3.78,53.91,8.3,44.69,28,18,21,1.13,GHz,-N/A-,
9,0,0,2.1,97.9,0,2,419,726,0,0,0,98.67,3.81,53.83,8.3,44.84,28,19,21,1.11,GHz,-N/A-,
10,0,0,2.1,97.9,0,2,373,912,0,0,0,98.77,3.79,53.85,8.3,44.92,28,19,21,1.11,GHz,-N/A-,
11,0,0,2.1,97.8,0,2,418,1031,1,1,0,98.54,3.79,53.58,8.32,44.96,28,19,21,1.11,GHz,-N/A-,
12,0,0,2.1,97.9,0,2,334,749,0,0,0,98.88,3.78,53.83,8.31,45.06,29,18,21,1.11,GHz,-N/A-,
13,0,0,2.1,97.9,0,2,400,660,0,0,0,98.95,3.8,53.95,8.31,45,29,20,22,1.11,GHz,-N/A-,
14,0,0,2.1,97.9,0,2,352,982,0,0,0,99.01,3.81,53.99,8.33,45.02,29,19,22,1.11,GHz,-N/A-,
15,0,0,2.1,97.9,0,2,297,661,0,0,0,99.06,3.81,53.99,8.32,45.07,30,19,22,1.11,GHz,-N/A-,
16,0,0,2.1,97.9,0,2,330,630,0,0,0,99.33,3.8,54.05,8.33,45.27,30,19,22,1.11,GHz,-N/A-,
17,0,0,2.1,97.9,0,2,418,721,0,0,0,99.41,3.79,54.06,8.32,45.35,29,20,22,1.11,GHz,-N/A-,
18,0,0,2.1,97.9,0,2,310,1068,0,0,0,99.15,3.81,53.93,8.3,45.22,30,18,22,1.11,GHz,-N/A-,
19,0,0,2.1,97.9,0,2,325,855,0,0,0,99.22,3.79,54.17,8.32,45.04,30,19,22,1.11,GHz,-N/A-,
20,0,0,2.1,97.9,0,2,353,799,0,0,0,99.13,3.83,54.09,8.33,45.04,30,19,22,1.11,GHz,-N/A-,
21,0,0,2.1,97.9,0,2,497,1103,2,1,0,99.05,3.84,54.1,8.33,44.96,30,19,22,1.12,GHz,-N/A-,
22,0,0,2.1,97.9,0,2,356,1137,0,0,0,98.92,3.83,54.08,8.32,44.84,30,19,22,1.11,GHz,-N/A-,
23,0.1,0,2.1,97.8,0,2,612,1719,0,0,2,98.81,3.85,54.09,8.33,44.72,30,19,23,1.11,GHz,-N/A-,
24,0,0,2.1,97.9,0,2,375,977,0,0,0,98.92,3.82,54.02,8.32,44.9,30,19,23,1.11,GHz,-N/A-,
25,0,0,2.1,97.9,0,2,456,989,0,0,0,99.21,3.83,54.11,8.34,45.1,30,19,23,1.11,GHz,-N/A-,
26,0,0,2.1,97.9,0,2,385,746,0,0,0,99.15,3.83,54.15,8.34,44.99,30,19,23,1.11,GHz,-N/A-,
27,0.1,0,2.2,97.7,0,2,608,1431,5,5,4,99.17,3.85,54.01,8.33,45.16,31,18,23,1.12,GHz,-N/A-,
28,0,0,2.1,97.9,0,2,362,1005,0,0,0,99.12,3.87,54.17,8.33,44.94,31,18,24,1.11,GHz,-N/A-,
29,0,0,2.1,97.9,0,2,501,1131,1,0,0,99.65,3.88,54.35,9.16,45.3,28,19,23,1.12,GHz,-N/A-,
30,0,0,2.1,97.7,0.1,2,434,797,0,0,0,99.64,3.85,54.36,9.29,45.28,29,19,23,1.13,GHz,-N/A-,
31,0,0,2.1,97.9,0,2,442,1471,0,0,2,99.51,3.83,54.42,9.29,45.09,29,19,23,1.11,GHz,-N/A-,
32,0.1,0,2.2,97.7,0,2,698,1483,4,4,4,99.55,3.83,54.39,9.3,45.15,29,18,23,1.11,GHz,-N/A-,
33,0,0,2.1,97.9,0,2,492,1073,0,0,1,99.21,3.85,54.37,9.31,44.84,29,18,24,1.11,GHz,-N/A-,
34,0,0,2.1,97.9,0,2,374,983,0,0,0,99.41,3.84,54.42,9.29,44.99,29,18,24,1.12,GHz,-N/A-,
35,0,0,2.6,95.8,1.6,2,896,2252,0,0,0,100.09,3.85,54.26,9.36,45.84,28,18,24,1.12,GHz,-N/A-,
36,0,0,2.2,96,1.8,1,1073,2710,0,0,0,95.59,3.88,51.46,8.4,44.14,22,19,23,1.11,GHz,-N/A-,
37,0.1,0,0.5,97.6,1.8,2,1069,2412,4,4,4,55.57,3.93,27.72,4.84,27.85,21,19,23,1.02,GHz,-N/A-,
38,0,0,0.5,97.6,1.9,1,702,2155,0,0,0,55.56,3.88,27.94,4.84,27.62,21,19,22,1.01,GHz,-N/A-,
39,0,0,0.5,97.7,1.8,1,763,2158,0,0,0,54.85,3.87,27.45,4.81,27.4,21,18,22,1.01,GHz,-N/A-,
40,0,0,0.4,97.7,1.9,2,720,2165,0,0,0,53.86,3.88,26.82,4.8,27.03,20,19,22,1.02,GHz,-N/A-,
41,0,0,0.5,97.6,1.8,1,955,2200,0,0,0,54.76,3.89,27.32,4.79,27.44,20,19,23,1.02,GHz,-N/A-,
42,0.1,0,0.5,97.5,1.9,1,1056,2417,4,4,4,55.27,3.88,27.7,4.78,27.57,21,19,22,1.02,GHz,-N/A-,
43,0,0,0.5,97.6,1.8,1,1064,2236,2,2,2,55.01,3.91,27.47,4.77,27.54,21,19,22,1.01,GHz,-N/A-,
44,0,0,0.4,97.7,1.8,1,760,2196,1,0,0,53.93,3.86,26.77,4.78,27.16,20,19,22,1.01,GHz,-N/A-,
45,0,0,0.5,97.6,1.9,1,903,2422,2,1,0,55.13,3.83,27.7,4.8,27.42,20,18,22,1.02,GHz,-N/A-,
46,0.1,0,0.5,97.6,1.8,1,1145,2299,0,0,0,54.45,3.88,27.07,4.75,27.37,20,18,22,1.02,GHz,-N/A-,
47,0.1,0,1.9,97.7,0.3,2,746,850,4,4,4,89.09,3.84,48.38,8.01,40.71,30,19,23,1.08,GHz,-N/A-,
48,0.3,0,1.7,98,0,1,2433,2679,118,0,169,67.08,2.91,36,5.5,31.07,20,19,22,1.06,GHz,-N/A-,
49,0.1,0,0.1,99.8,0,1,502,418,9,9,6,21.46,1.05,10.67,1.53,10.79,19,19,21,1.02,GHz,-N/A-,
50,0,0,0,99.9,0,1,254,291,3,2,6,18.84,0.8,9.41,1.27,9.43,19,18,21,1,GHz,-N/A-,
51,0,0,0,100,0,1,177,118,0,0,0,18.25,0.65,9.19,1.15,9.06,19,18,21,1,GHz,-N/A-,
52,0.1,0,0,99.8,0,3,427,399,4,2,1,20.25,0.94,10.3,1.38,9.95,19,19,21,1.01,GHz,-N/A-,
53,0.1,0,0.1,99.8,0,1,802,564,2,3,5,22.42,1.23,11.06,1.75,11.36,19,19,21,1.01,GHz,-N/A-,
54,0.1,0,0.1,99.8,0,1,529,327,9,9,6,21.58,1.11,10.58,1.58,10.99,19,19,21,1.02,GHz,-N/A-,
55,0,0,0,99.9,0,1,276,265,3,2,6,18.85,0.78,9.44,1.25,9.4,19,18,21,1,GHz,-N/A-,
56,0,0,0,100,0,1,495,195,0,0,0,19.17,0.9,9.5,1.41,9.67,19,19,20,1,GHz,-N/A-,
57,0,0,0,100,0,1,541,214,0,0,0,19.17,0.89,9.55,1.38,9.62,19,19,20,1,GHz,-N/A-,
58,0.2,0,0.1,99.6,0,1,844,515,4,4,5,24.07,1.35,11.88,1.94,12.19,19,19,21,1.01,GHz,-N/A-,
59,0,0,0,100,0,1,180,122,0,0,0,17.94,0.7,9.05,1.2,8.89,18,19,20,1,GHz,-N/A-,
